Product ID,Product Name,total_sales,total_profit,total_quantity,profit_margin
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",843.174,-117.882,9,-0.13980744188032365
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,722.066,-156.42759999999998,13,-0.21663892220378744
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,2709.8968,-562.744,19,-0.20766252058011953
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,1232.6039999999998,-12.097999999999999,11,-0.009814993298739904
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,483.887,12.209399999999995,9,0.025231923982252043
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",782.5311999999999,-136.2192,8,-0.17407510397029538
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,446.90000000000003,27.193599999999996,6,0.060849407026180344
FUR-BO-10001798,Bush Somerset Collection Bookcase,1319.9569999999999,-56.3214,12,-0.04266911725154683
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",3767.8874,69.22540000000001,17,0.018372470472445647
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",554.2339999999999,-41.8548,4,-0.07551828289134192
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1392.277,-454.88480000000004,27,-0.32672004206059574
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,3824.4480000000003,155.3038,9,0.04060816096858945
FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",838.635,-97.2762,7,-0.115993489420308
FUR-BO-10002268,Sauder Barrister Bookcases,657.9696,-46.9684,10,-0.07138384508949958
FUR-BO-10002824,Bush Mission Pointe Library,518.9008,-36.2352,4,-0.0698306882548649
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",1661.309,-72.039,15,-0.043362794037713634
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1229.2008,-5.748999999999995,11,-0.00467702266383165
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,530.352,-66.294,3,-0.125
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3505.84,206.87040000000002,8,0.05900737055883897
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",1440.2982,73.71539999999999,18,0.05118065134011831
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",579.8,46.384,10,0.08
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,1137.192,-161.56800000000004,16,-0.14207627208070409
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1119.586,-95.9194,7,-0.0856739902070944
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",826.9590000000001,59.843,5,0.07236513539365313
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",2755.7915,68.39430000000002,26,0.02481838702238541
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1113.4969999999998,63.441,9,0.05697455853046754
FUR-BO-10004467,Bestar Classic Bookcase,1028.9075,-451.95480000000003,17,-0.4392569788829414
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",1444.5238,1.0161999999999978,27,0.0007034844285708535
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3906.9316,-176.19600000000003,6,-0.04509830681448327
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",1232.172,-153.862,14,-0.12487055378632203
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,1608.7820000000002,-395.6308,8,-0.24591945956630543
FUR-CH-10000309,Global Comet Stacking Arm Chair,3153.5739999999996,-42.251000000000005,10,-0.013397814669958596
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,795.4250000000001,-5.459400000000006,9,-0.006863500644309652
FUR-CH-10000513,High-Back Leather Manager's Chair,1623.8809999999999,-227.4825,15,-0.1400856959346159
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,629.136,-28.9568,4,-0.04602629638106864
FUR-CH-10000785,Global Ergonomic Managers Chair,4933.872,492.2656,32,0.09977267347024811
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,1300.134,-90.58800000000001,10,-0.06967589494621325
FUR-CH-10000988,Hon Olson Stacker Stools,1678.4769999999999,126.729,15,0.07550237506978053
FUR-CH-10001146,"Global Task Chair, Black",520.0989999999999,-80.4062,12,-0.15459787463540597
FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,1112.92,-149.589,10,-0.1344112784387018
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,10217.894,776.519,25,0.07599599291204234
FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,1074.35,-183.372,10,-0.17068180760459817
FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,1405.1580000000001,-56.99,15,-0.04055771664111794
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,2224.6220000000003,177.63479999999998,16,0.07984943059989516
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",1261.12,-42.249199999999995,9,-0.03350133214920071
FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,985.84,12.097999999999999,10,0.012271768238253671
FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,1395.564,-217.5208,16,-0.15586587214918127
FUR-CH-10002019,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,448.856,9.5904,7,0.021366317928244248
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,11887.562,70.09800000000007,21,0.005896751579508067
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",437.136,-68.1096,4,-0.15580871856813439
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,2119.83,-34.1572,12,-0.016113178886986223
FUR-CH-10002304,"Global Stack Chair without Arms, Black",583.364,1.2989999999999995,29,0.0022267400799500818
