City,Order Date,Order ID,Product ID,Region,State
Aberdeen,11-11-2020,CA-2020-167976,OFF-SU-10004661,Midwest,South Dakota
Abilene,11-12-2020,CA-2020-165099,OFF-AP-10001634,South,Texas
Akron,04-09-2020,CA-2020-109757,OFF-AR-10002335,Midwest,Ohio
Akron,04-09-2020,CA-2020-109757,OFF-BI-10001634,Midwest,Ohio
Akron,04-09-2020,CA-2020-109757,OFF-BI-10004001,Midwest,Ohio
Akron,04-09-2020,CA-2020-109757,OFF-PA-10000007,Midwest,Ohio
Akron,10-09-2020,CA-2020-147403,OFF-PA-10003302,Midwest,Ohio
Akron,14-08-2019,CA-2019-136770,TEC-AC-10000420,Midwest,Ohio
Akron,14-08-2019,CA-2019-136770,TEC-PH-10001530,Midwest,Ohio
Akron,14-08-2019,CA-2019-136770,TEC-PH-10003580,Midwest,Ohio
Akron,16-05-2020,CA-2020-166576,OFF-ST-10002574,Midwest,Ohio
Akron,20-10-2020,CA-2020-147277,FUR-TA-10001539,Midwest,Ohio
Akron,20-10-2020,CA-2020-147277,OFF-ST-10000142,Midwest,Ohio
Akron,24-06-2020,CA-2020-105074,OFF-PA-10002666,Midwest,Ohio
Akron,27-12-2019,CA-2019-102596,OFF-FA-10000621,Midwest,Ohio
Albuquerque,12-10-2020,CA-2020-168655,OFF-BI-10002082,West,New Mexico
Albuquerque,12-10-2020,CA-2020-168655,TEC-AC-10002842,West,New Mexico
Albuquerque,13-03-2020,CA-2020-106859,OFF-PA-10001534,West,New Mexico
Albuquerque,13-03-2020,CA-2020-106859,OFF-PA-10001815,West,New Mexico
Albuquerque,13-03-2020,CA-2020-106859,OFF-ST-10000615,West,New Mexico
Albuquerque,13-03-2020,CA-2020-106859,TEC-AC-10004001,West,New Mexico
Albuquerque,13-03-2020,CA-2020-106859,TEC-PH-10004531,West,New Mexico
Albuquerque,22-09-2020,US-2020-103226,OFF-PA-10002666,West,New Mexico
Albuquerque,28-12-2020,CA-2020-122798,OFF-PA-10004239,West,New Mexico
Albuquerque,28-12-2020,CA-2020-122798,OFF-ST-10003058,West,New Mexico
Alexandria,14-04-2019,CA-2019-164735,OFF-ST-10001558,South,Virginia
Alexandria,19-11-2020,CA-2020-110926,OFF-FA-10000624,South,Virginia
Allentown,22-07-2019,CA-2019-122392,FUR-FU-10002456,Northeast,Pennsylvania
Allentown,22-07-2019,CA-2019-122392,OFF-AR-10002221,Northeast,Pennsylvania
Amarillo,01-08-2019,CA-2019-144337,OFF-PA-10000249,South,Texas
Amarillo,01-10-2019,CA-2019-111794,OFF-PA-10000474,South,Texas
Amarillo,01-10-2019,CA-2019-111794,TEC-AC-10003832,South,Texas
Amarillo,02-05-2019,CA-2019-109400,FUR-CH-10003298,South,Texas
Amarillo,07-01-2019,CA-2019-158806,FUR-FU-10004270,South,Texas
Amarillo,07-01-2019,CA-2019-158806,OFF-PA-10004621,South,Texas
Amarillo,31-03-2020,CA-2020-154907,FUR-BO-10002824,South,Texas
Anaheim,08-03-2020,CA-2020-104080,OFF-AR-10001972,West,California
Anaheim,08-03-2020,CA-2020-104080,OFF-BI-10003876,West,California
Anaheim,11-12-2019,CA-2019-165330,FUR-CH-10003774,West,California
Anaheim,11-12-2019,CA-2019-165330,FUR-TA-10004619,West,California
Anaheim,11-12-2019,CA-2019-165330,OFF-AP-10001469,West,California
Anaheim,11-12-2019,CA-2019-165330,OFF-AR-10000914,West,California
Anaheim,11-12-2019,CA-2019-165330,OFF-BI-10002824,West,California
Anaheim,11-12-2019,CA-2019-165330,OFF-BI-10002897,West,California
Anaheim,11-12-2019,CA-2019-165330,OFF-BI-10004001,West,California
Anaheim,11-12-2019,CA-2019-165330,OFF-BI-10004593,West,California
Anaheim,11-12-2019,CA-2019-165330,OFF-PA-10000241,West,California
Anaheim,11-12-2019,CA-2019-165330,OFF-ST-10000636,West,California
Anaheim,11-12-2019,CA-2019-165330,TEC-AC-10000057,West,California
Anaheim,14-06-2019,CA-2019-128223,FUR-TA-10001771,West,California
Anaheim,17-12-2020,CA-2020-120936,OFF-ST-10001526,West,California
Anaheim,17-12-2020,CA-2020-120936,OFF-SU-10002557,West,California
Anaheim,29-06-2020,CA-2020-100650,OFF-ST-10001780,West,California
Anaheim,29-12-2020,CA-2020-146626,FUR-FU-10002501,West,California
Anaheim,31-12-2019,CA-2019-100202,TEC-PH-10002563,West,California
Andover,09-03-2019,CA-2019-153269,FUR-CH-10002647,Northeast,Massachusetts
Andover,09-03-2019,CA-2019-153269,OFF-BI-10004632,Northeast,Massachusetts
Andover,09-03-2019,CA-2019-153269,OFF-PA-10001801,Northeast,Massachusetts
Andover,09-03-2019,CA-2019-153269,OFF-ST-10004634,Northeast,Massachusetts
Antioch,06-12-2019,US-2019-114776,OFF-PA-10004100,West,California
Apopka,11-11-2019,CA-2019-131968,OFF-AP-10001058,South,Florida
Apopka,11-11-2019,CA-2019-131968,OFF-BI-10002852,South,Florida
Apopka,17-05-2019,US-2019-150567,OFF-BI-10000069,South,Florida
Apopka,17-05-2019,US-2019-150567,OFF-BI-10001757,South,Florida
Apple Valley,04-06-2020,CA-2020-158106,OFF-AR-10002255,Midwest,Minnesota
Apple Valley,04-09-2020,CA-2020-101182,OFF-PA-10001800,West,California
Apple Valley,04-09-2020,CA-2020-101182,TEC-PH-10003589,West,California
Apple Valley,16-12-2019,CA-2019-118332,FUR-CH-10001708,West,California
Apple Valley,17-07-2020,CA-2020-142342,FUR-BO-10002613,West,California
Apple Valley,17-07-2020,CA-2020-142342,OFF-EN-10002592,West,California
Apple Valley,17-07-2020,CA-2020-142342,OFF-PA-10004609,West,California
Apple Valley,17-07-2020,CA-2020-142342,OFF-ST-10002957,West,California
Appleton,14-10-2019,CA-2019-125220,TEC-AC-10003033,Midwest,Wisconsin
Arlington,01-02-2019,US-2019-140809,OFF-ST-10002214,South,Virginia
Arlington,02-02-2019,CA-2019-158841,FUR-FU-10001731,South,Virginia
Arlington,02-02-2019,CA-2019-158841,OFF-BI-10002557,South,Virginia
Arlington,02-02-2019,CA-2019-158841,TEC-MA-10001127,South,Virginia
Arlington,02-07-2019,CA-2019-101469,OFF-AR-10003986,South,Virginia
Arlington,06-02-2020,CA-2020-122994,FUR-BO-10004015,South,Virginia
Arlington,06-05-2020,CA-2020-156769,OFF-AR-10003179,South,Virginia
Arlington,08-07-2019,CA-2019-156685,OFF-AR-10000588,South,Texas
Arlington,08-07-2019,CA-2019-156685,TEC-PH-10004345,South,Texas
Arlington,08-09-2020,US-2020-124779,FUR-CH-10003535,South,Texas
Arlington,08-09-2020,US-2020-124779,FUR-FU-10001095,South,Texas
Arlington,08-09-2020,US-2020-124779,OFF-BI-10002429,South,Texas
Arlington,08-09-2020,US-2020-124779,OFF-FA-10004854,South,Texas
Arlington,08-09-2020,US-2020-124779,OFF-PA-10000061,South,Texas
Arlington,08-09-2020,US-2020-124779,TEC-CO-10001943,South,Texas
Arlington,11-06-2019,CA-2019-169922,FUR-FU-10004415,South,Texas
Arlington,11-06-2019,CA-2019-169922,OFF-BI-10001617,South,Texas
Arlington,11-06-2019,CA-2019-169922,OFF-BI-10003784,South,Texas
Arlington,15-04-2020,CA-2020-126774,OFF-AR-10002804,South,Virginia
Arlington,17-12-2019,CA-2019-147109,OFF-PA-10001972,South,Texas
Arlington,17-12-2019,CA-2019-147109,TEC-AC-10002942,South,Texas
Arlington,17-12-2020,CA-2020-130309,OFF-ST-10003208,South,Virginia
Arlington,18-09-2020,CA-2020-131016,OFF-AR-10000122,South,Texas
Arlington,18-09-2020,CA-2020-131016,OFF-ST-10000352,South,Texas
Arlington,19-05-2019,CA-2019-157245,FUR-CH-10003746,South,Virginia
Arlington,20-10-2019,CA-2019-105753,FUR-FU-10000246,South,Virginia
Arlington,25-07-2019,CA-2019-149454,OFF-BI-10003694,South,Virginia
Arlington,28-03-2019,CA-2019-162901,OFF-ST-10000649,South,Virginia
Arlington,30-05-2019,CA-2019-166380,OFF-EN-10002600,South,Virginia
Arlington,30-05-2019,CA-2019-166380,TEC-AC-10000109,South,Virginia
Arlington,30-09-2020,US-2020-130603,OFF-BI-10000301,South,Texas
Arlington,31-03-2020,CA-2020-144680,OFF-AP-10003040,South,Texas
Arlington Heights,11-11-2019,CA-2019-103128,OFF-AR-10003394,Midwest,Illinois
Arvada,12-09-2019,CA-2019-142902,FUR-CH-10004086,West,Colorado
Arvada,12-09-2019,CA-2019-142902,FUR-FU-10001756,West,Colorado
Arvada,12-09-2019,CA-2019-142902,FUR-FU-10001918,West,Colorado
Arvada,12-09-2019,CA-2019-142902,OFF-LA-10000634,West,Colorado
Asheville,13-09-2020,CA-2020-139493,OFF-AR-10003158,South,North Carolina
Asheville,20-05-2019,CA-2019-105256,TEC-PH-10001530,South,North Carolina
Asheville,24-11-2020,CA-2020-153654,OFF-BI-10004465,South,North Carolina
Asheville,27-11-2020,CA-2020-132185,OFF-AP-10001205,South,North Carolina
Asheville,27-11-2020,CA-2020-132185,OFF-AR-10000422,South,North Carolina
Athens,17-11-2020,CA-2020-163629,TEC-AC-10001539,South,Georgia
Athens,17-11-2020,CA-2020-163629,TEC-PH-10004006,South,Georgia
Athens,22-05-2019,CA-2019-159653,OFF-LA-10004345,South,Georgia
Athens,26-08-2019,CA-2019-163174,FUR-FU-10000308,South,Georgia
Atlanta,03-11-2020,CA-2020-126046,OFF-LA-10004484,South,Georgia
Atlanta,10-09-2020,CA-2020-159954,OFF-BI-10004876,South,Georgia
Atlanta,12-02-2019,CA-2019-110492,OFF-BI-10003274,South,Georgia
Atlanta,12-02-2019,CA-2019-110492,OFF-ST-10003716,South,Georgia
Atlanta,14-11-2019,CA-2019-131065,OFF-BI-10004970,South,Georgia
Atlanta,14-11-2019,CA-2019-131065,OFF-PA-10002479,South,Georgia
Atlanta,14-11-2019,CA-2019-131065,TEC-AC-10004145,South,Georgia
Atlanta,19-05-2020,CA-2020-138975,FUR-BO-10004695,South,Georgia
Atlanta,19-05-2020,CA-2020-138975,OFF-PA-10000100,South,Georgia
Atlanta,19-05-2020,CA-2020-138975,TEC-AC-10003441,South,Georgia
Atlanta,19-05-2020,CA-2020-138975,TEC-PH-10004389,South,Georgia
